2025-10-09 00:51:31 - BinanceFuturesBot - INFO - Iniciando aplicacion Flask con Socket.IO...
2025-10-09 00:51:31 - BinanceFuturesBot - INFO - INICIO AUTOMATICO CONFIGURADO - Iniciando bot...
2025-10-09 00:51:33 - BinanceFuturesBot - INFO - CREANDO INSTANCIA DEL BOT DE TRADING...
2025-10-09 00:51:33 - BinanceFuturesBot - INFO - Bot iniciado automaticamente
2025-10-09 00:51:33 - BinanceFuturesBot - INFO - Sistema inicializado correctamente
2025-10-09 00:51:33 - BinanceFuturesBot - INFO - Servidor web iniciando en http://0.0.0.0:5000
2025-10-09 00:51:38 - BinanceFuturesBot - INFO - CONECTADO A BINANCE FUTURES MAINNET REAL - 20x LEVERAGE
2025-10-09 00:51:38 - BinanceFuturesBot - INFO - MODO REAL - Se realizaran operaciones con dinero real
2025-10-09 00:51:43 - BinanceFuturesBot - INFO - Informacion de exchange cargada exitosamente
2025-10-09 00:51:43 - BinanceFuturesBot - INFO - Telegram notifier habilitado
2025-10-09 00:51:43 - BinanceFuturesBot - INFO - INICIANDO CICLO PRINCIPAL DEL BOT...
2025-10-09 00:51:43 - BinanceFuturesBot - INFO - Iniciando Bot de Trading - Modo 20x
2025-10-09 00:51:44 - BinanceFuturesBot - INFO - Capital inicial: 30.00 USDT
2025-10-09 00:51:44 - BinanceFuturesBot - INFO - Balance actualizado: 30.00 USDT | P&L Diario: +0.00 USDT
2025-10-09 00:51:44 - BinanceFuturesBot - INFO - Balance inicial: 30.00 USDT
2025-10-09 00:51:45 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.78
2025-10-09 00:51:46 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.70
2025-10-09 00:51:47 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.87
2025-10-09 00:51:47 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.92
2025-10-09 00:51:49 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.96
2025-10-09 00:51:49 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.86
2025-10-09 00:51:50 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.96
2025-10-09 00:51:51 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.74
2025-10-09 00:51:51 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.97
2025-10-09 00:52:08 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.78
2025-10-09 00:52:09 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.70
2025-10-09 00:52:09 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 00:52:10 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.92
2025-10-09 00:52:12 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.96
2025-10-09 00:52:13 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.85
2025-10-09 00:52:14 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.95
2025-10-09 00:52:15 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.74
2025-10-09 00:52:16 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.97
2025-10-09 00:52:33 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 00:52:33 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.70
2025-10-09 00:52:34 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 00:52:35 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.92
2025-10-09 00:52:36 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.95
2025-10-09 00:52:37 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.85
2025-10-09 00:52:38 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.95
2025-10-09 00:52:39 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.73
2025-10-09 00:52:40 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.97
2025-10-09 00:52:57 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.76
2025-10-09 00:52:57 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:52:58 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 00:52:59 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.91
2025-10-09 00:53:00 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.95
2025-10-09 00:53:01 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.84
2025-10-09 00:53:02 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.95
2025-10-09 00:53:02 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.72
2025-10-09 00:53:03 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.96
2025-10-09 00:53:19 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.76
2025-10-09 00:53:20 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:53:21 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 00:53:22 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.91
2025-10-09 00:53:23 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.94
2025-10-09 00:53:24 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.83
2025-10-09 00:53:24 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.94
2025-10-09 00:53:25 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.72
2025-10-09 00:53:26 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.96
2025-10-09 00:53:42 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.76
2025-10-09 00:53:43 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:53:44 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:53:44 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.91
2025-10-09 00:53:46 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.94
2025-10-09 00:53:46 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.83
2025-10-09 00:53:47 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.94
2025-10-09 00:53:48 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.71
2025-10-09 00:53:49 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.96
2025-10-09 00:54:05 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.75
2025-10-09 00:54:06 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:54:07 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:54:08 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.90
2025-10-09 00:54:09 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.93
2025-10-09 00:54:10 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.83
2025-10-09 00:54:10 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.94
2025-10-09 00:54:11 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.70
2025-10-09 00:54:12 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.95
2025-10-09 00:54:28 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.75
2025-10-09 00:54:29 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:54:30 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:54:30 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.90
2025-10-09 00:54:32 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.93
2025-10-09 00:54:32 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.83
2025-10-09 00:54:33 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.94
2025-10-09 00:54:34 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.69
2025-10-09 00:54:35 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.95
2025-10-09 00:54:52 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.74
2025-10-09 00:54:52 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:54:53 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:54:54 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.90
2025-10-09 00:54:55 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.93
2025-10-09 00:54:56 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.82
2025-10-09 00:54:57 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.93
2025-10-09 00:54:57 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.69
2025-10-09 00:54:58 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.95
2025-10-09 00:55:15 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.78
2025-10-09 00:55:16 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 00:55:16 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:17 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.94
2025-10-09 00:55:19 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 1.00
2025-10-09 00:55:19 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:20 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 1.00
2025-10-09 00:55:21 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.77
2025-10-09 00:55:21 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.99
2025-10-09 00:55:38 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 00:55:39 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 00:55:39 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:40 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.94
2025-10-09 00:55:41 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.99
2025-10-09 00:55:42 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:43 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 00:55:43 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.76
2025-10-09 00:55:44 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.98
2025-10-09 00:56:01 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 00:56:02 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 00:56:02 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 00:56:03 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.93
2025-10-09 00:56:04 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.98
